,BR,BV,ED,H3,HA,HC,HW,LN,NP,O2,RP,RS,SM,V4
,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC
Date,,,,,,,,,,,,,,
01-Jan-2016 00:00,1.5,14,,1.9,22.1,8.1,20.2,,,25.3,,10.5,62.4,10.4
01-Jan-2016 01:00,-3.5,17.1,,12.3,23.3,8.6,32,,,27,,13.9,52.2,8
01-Jan-2016 02:00,5.3,17.1,,12,24.6,7.9,28.3,,,13.8,,14.4,19.2,7.1
01-Jan-2016 03:00,4.1,16.5,,12.4,24.2,8.1,30.2,,,4.9,,12.6,19.3,5.8
01-Jan-2016 04:00,10,11.1,,8.6,21.5,8.2,27.3,,,10.4,,13.1,3.4,5.1
01-Jan-2016 05:00,8.5,15,,8.5,12.4,8.9,22.3,,,8.1,,13.3,21.3,7
01-Jan-2016 06:00,9.3,12.1,,5.1,6,8.6,12.4,,,4.8,,13.9,25,7
01-Jan-2016 07:00,10.8,12.9,,5.7,9,7.8,6.4,,,7.9,,14.5,22.8,10.1
01-Jan-2016 08:00,9,11,,0,9.1,7,9.2,,,4.8,,14.3,16,10.4
01-Jan-2016 09:00,9.6,9.4,,2.5,15.8,5.5,10.3,,,6.9,,12.7,17.2,8.9
01-Jan-2016 10:00,5.2,11.3,,7.4,17.8,4.6,21.1,,,11,,11.8,19.1,8.5
01-Jan-2016 11:00,8,16.1,,7.6,14.8,4.5,26.2,,,8.3,,11.1,21,8
01-Jan-2016 12:00,5.1,13.7,,13.6,11.3,4.1,16.4,,,7.1,,10.3,24.4,8.4
01-Jan-2016 13:00,5.1,10.9,,13,15.2,3,12.3,,,4.6,,9.5,25.4,9.8
01-Jan-2016 14:00,6.4,7.4,,7.9,13.3,2.3,21.1,,,3,,8.7,18.7,11.3
01-Jan-2016 15:00,4.4,7.9,,10.6,11.7,1.8,20.3,,,6.7,,9,16.3,12.1
01-Jan-2016 16:00,3.1,7.7,,9.5,10.7,1.7,15.3,,,7.8,,8.9,20.8,11.5
01-Jan-2016 17:00,5.5,8.4,,5.7,13.8,2.2,10.4,,,7.9,,9.7,25.5,13.2
01-Jan-2016 18:00,7.6,12.1,,17.4,16.2,2.8,12.2,,,9.8,,10.6,19.5,17
01-Jan-2016 19:00,10.5,10.2,,26.3,22.2,2.6,16.2,,,11.2,,10.8,9.4,17.3
01-Jan-2016 20:00,7.6,9.8,,10,21.6,2.7,23.2,,,7.5,,11.9,-10,17.6
01-Jan-2016 21:00,8.9,8.4,,6.7,21,2.9,26.2,,,8.5,,12.4,17.9,18.5
01-Jan-2016 22:00,8.1,8.2,,8,22.8,2.7,20.3,,,10.5,,13.4,13.7,18.1
01-Jan-2016 23:00,6.9,10.8,,6.5,25.5,2.6,20.2,,,12.6,,14.8,6.9,17.6
02-Jan-2016 00:00,6.9,6.7,,6.7,22.7,3.2,27.1,,,8.5,,12.8,4.2,15.6
02-Jan-2016 01:00,10.8,6.8,,7.8,23.2,3.6,25.2,,,6.1,,12.3,-0.8,13.2
02-Jan-2016 02:00,6.7,7.3,,9.3,24.6,4.4,26.2,,,4.7,,11.9,10.6,11.9
02-Jan-2016 03:00,8,6.6,,10.5,23.9,6.7,27.2,,,5.3,,11.3,22.6,11.7
02-Jan-2016 04:00,9.6,7.4,,5.8,23.8,7.2,10.5,,,8.5,,11.8,29.2,11.1
02-Jan-2016 05:00,10.7,6.6,,6.6,24.5,8.5,22.1,,,4.4,,11.8,2.2,9.9
02-Jan-2016 06:00,9.3,7.6,,9.8,23.1,7,-5.1,,,3.4,,12.2,5.5,9.6
02-Jan-2016 07:00,9.2,8.7,,9.5,23.3,6.7,17.9,,,8.8,,12.2,-1.1,10.5
02-Jan-2016 08:00,8.5,10.8,,7.2,23.7,7.2,19.2,,,8.6,,12.7,16.1,9.7
02-Jan-2016 09:00,6.8,11.3,,10.4,24.4,8.4,28.1,,,8.3,,14.4,33.4,11.8
02-Jan-2016 10:00,4.2,14.9,,11.2,19.8,4.2,31.2,,,8.9,,14,19.7,12.6
02-Jan-2016 11:00,4.7,18.1,,13.3,24.6,3,22.4,,,7.1,,13.2,27.4,11.9
02-Jan-2016 12:00,5.1,16.2,,16.1,30.4,2.6,28.2,,,5.3,,12.8,19.9,11.2
02-Jan-2016 13:00,5,11.7,,17,21.8,2.8,43,,,5.2,,11.8,13.3,11.6
02-Jan-2016 14:00,6.4,11.4,,18.5,16.3,3.3,30.5,,,8.9,,12.2,13.8,12.6
02-Jan-2016 15:00,6.3,9.2,,23.1,19.7,3.8,18.5,,,11,,11.9,15.8,13.3
